$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.18 00:00:03
$Filename; CO2FT_A_State_Flush_20211218.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 1.0000000000E+0
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; State_Flush, On/Off; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, On/Off; Float
$8; Maximum; On/Off; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	State_Flush	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	On/Off	Flags	Cnt	Sec	MR	On/Off	On/Off	Units	Deg	Deg	Units	Flags
2021.12.18 03:30:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 03:31:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:32:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:33:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:34:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 03:35:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 03:36:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:37:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:38:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:39:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 03:40:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:41:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:42:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 03:43:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:44:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:45:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:46:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:47:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 03:48:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:49:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:50:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 03:51:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:52:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:53:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:54:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:55:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 03:56:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 03:57:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:58:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 03:59:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:00:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:01:00	0.000000	128	37	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:02:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:03:00	0.923077	128	52	60	1	0.000000	1.000000	0.072398	NaN	NaN	0.923077	8388617
2021.12.18 04:04:00	1.000000	16512	60	60	1	1.000000	1.000000	0.000000	NaN	NaN	1.000000	8388609
2021.12.18 04:05:00	1.000000	16512	60	60	1	1.000000	1.000000	0.000000	NaN	NaN	1.000000	8388609
2021.12.18 04:06:00	1.000000	16512	60	60	1	1.000000	1.000000	0.000000	NaN	NaN	1.000000	8388617
2021.12.18 04:07:00	1.000000	16512	60	60	1	1.000000	1.000000	0.000000	NaN	NaN	1.000000	8388609
2021.12.18 04:08:00	1.000000	16512	60	60	1	1.000000	1.000000	0.000000	NaN	NaN	1.000000	8388617
2021.12.18 04:09:00	1.000000	16512	60	60	1	1.000000	1.000000	0.000000	NaN	NaN	1.000000	8388609
2021.12.18 04:10:00	1.000000	16512	60	60	1	1.000000	1.000000	0.000000	NaN	NaN	1.000000	8388609
2021.12.18 04:11:00	1.000000	16512	60	60	1	1.000000	1.000000	0.000000	NaN	NaN	1.000000	8388617
2021.12.18 04:12:00	1.000000	16512	60	60	1	1.000000	1.000000	0.000000	NaN	NaN	1.000000	8388609
2021.12.18 04:13:00	1.000000	16512	60	60	1	1.000000	1.000000	0.000000	NaN	NaN	1.000000	8388609
2021.12.18 04:14:00	1.000000	16512	60	60	1	1.000000	1.000000	0.000000	NaN	NaN	1.000000	8388617
2021.12.18 04:15:00	1.000000	16512	60	60	1	1.000000	1.000000	0.000000	NaN	NaN	1.000000	8388609
2021.12.18 04:16:00	1.000000	16512	60	60	1	1.000000	1.000000	0.000000	NaN	NaN	1.000000	8388609
2021.12.18 04:17:00	1.000000	16512	60	60	1	1.000000	1.000000	0.000000	NaN	NaN	1.000000	8388609
2021.12.18 04:18:00	0.200000	16512	60	60	1	0.000000	1.000000	0.162712	NaN	NaN	0.200000	8388617
2021.12.18 04:19:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:20:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:21:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:22:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:23:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:24:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:25:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:26:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:27:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:28:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:29:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:30:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:31:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:32:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:33:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:34:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:35:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:36:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:37:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:38:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:39:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:40:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:41:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:42:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:43:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:44:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:45:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:46:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:47:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:48:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:49:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:50:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:51:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:52:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:53:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:54:00	0.000000	128	60	59	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 04:55:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:56:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:57:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:58:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 04:59:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:00:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:01:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:02:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:03:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:04:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:05:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:06:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:07:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:08:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:09:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:10:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:11:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:12:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:13:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:14:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:15:00	0.000000	128	60	59	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:16:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:17:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:18:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:19:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:20:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:21:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:22:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:23:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:24:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:25:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:26:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:27:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:28:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:29:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:30:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:31:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:32:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:33:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:34:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:35:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:36:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:37:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:38:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:39:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:40:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:41:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:42:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:43:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:44:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:45:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:46:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:47:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:48:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:49:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:50:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:51:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:52:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:53:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:54:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:55:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:56:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:57:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
2021.12.18 05:58:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388608
2021.12.18 05:59:00	0.000000	128	60	60	1	0.000000	0.000000	0.000000	NaN	NaN	0.000000	8388617
