$METADATA
$Project; FerryBox
$Hostname; FERRYBOX/-4H- FerryBox
$DateTime; 2021.12.02 00:00:09
$Filename; CO2FT_A_XCO2_Corr_20211202.txt
$Type; HydroC CO2FT ()
$Formula; Meas=a0+a1*Raw+a2*Raw^2+a3*Raw^3
$Ranges; 1
$Range1.a0; 0.0000000000E+0
$Range1.a1; 10.0000000000E-3
$Range1.a2; 0.0000000000E+0
$Range1.a3; 0.0000000000E+0
$QUALITYBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$5; 32, Processstatus = unknown.
$6; 64, Processstatus 1 = clean.
$7; 128, Processstatus 2 = standby.
$8; 256, Processstatus 3 = empty.
$9; 512, Processstatus 9 = error.
$10; 1024, Processstatus 8 = undefined state.
$11; 2048, Simulated data.
$12; 4096, Measuring delay.
$13; 8192, Value from zero-cycle.
$14; 16384, Value from flush-cycle.
$INFOBITS
$Bit; Value, Meaning
$0; 1, Unknown measuring value.
$1; 2, Data overflow.
$2; 4, Data underflow.
$3; 8, Device timeout.
$4; 16, Channel mismatch.
$5; 32, Receiverwarning (GPS only).
$6; 64, Lower then 2 satellites (GPS only).
$7; 128, No GPS signal (GPS only).
$8; 256, CRC error (GPS only).
$9; 512, Latitude and longitude are 0 (GPS only).
$10; 1024, Formaterror.
$FORMATS
$1; Timestamp, Date Time; YYYY.MM.DD hh:mm:ss
$2; XCO2_Corr, ppm; Float
$3; Quality, Flags; Int
$4; MeasCount, Cnt; Int
$5; MeanTime, Sec; Int
$6; Range, MR; Int
$7; Minimum, ppm; Float
$8; Maximum; ppm; Float
$9; Variance, Units; Float
$10; Longitude, Deg: Float
$11; Latitude, Deg; Float
$12; Rawvalue, Units; Float
$13; Info, Flags; Int
$DATASETS
$Timestamp	XCO2_Corr	Quality	MeasCount	MeanTime	Range	Minimum	Maximum	Variance	Longitude	Latitude	Rawvalue	Info
$Date Time	ppm	Flags	Cnt	Sec	MR	ppm	ppm	Units	Deg	Deg	Units	Flags
2021.12.02 00:00:00	4266.926000	128	60	60	1	4265.180000	4269.160000	0.586204	NaN	NaN	426692.600000	8388617
2021.12.02 00:01:00	1292.578378	128	37	59	1	32.870000	4269.200000	3849953.248825	NaN	NaN	129257.837838	8388617
2021.12.02 00:02:00	32.680820	128	61	60	1	32.500000	32.870000	0.011288	NaN	NaN	3268.081967	8388617
2021.12.02 00:03:00	1831.727647	128	51	60	1	32.380000	2607.860000	1050494.652198	NaN	NaN	183172.764706	8388609
2021.12.02 00:04:00	2656.573167	16512	60	59	1	2608.890000	2696.540000	653.686812	NaN	NaN	265657.316667	8388617
2021.12.02 00:05:00	2726.817458	16512	59	59	1	2698.740000	2754.440000	271.652605	NaN	NaN	272681.745763	8388617
2021.12.02 00:06:00	2778.347705	16512	61	60	1	2754.040000	2800.480000	175.456718	NaN	NaN	277834.770492	8388617
2021.12.02 00:07:00	2819.089500	16512	60	60	1	2800.650000	2837.030000	109.606584	NaN	NaN	281908.950000	8388609
2021.12.02 00:08:00	2852.493220	16512	59	60	1	2836.560000	2868.300000	92.115464	NaN	NaN	285249.322034	8388617
2021.12.02 00:09:00	2882.090492	16512	61	61	1	2868.680000	2896.790000	69.734548	NaN	NaN	288209.049180	8388609
2021.12.02 00:10:00	2909.155833	16512	60	60	1	2896.450000	2921.610000	56.712530	NaN	NaN	290915.583333	8388609
2021.12.02 00:11:00	2934.617833	16512	60	59	1	2922.400000	2946.630000	48.542709	NaN	NaN	293461.783333	8388609
2021.12.02 00:12:00	2956.993000	16512	60	59	1	2946.710000	2967.980000	35.279032	NaN	NaN	295699.300000	8388609
2021.12.02 00:13:00	2979.474667	16512	60	60	1	2967.840000	2989.630000	41.555242	NaN	NaN	297947.466667	8388609
2021.12.02 00:14:00	2999.414000	16512	60	60	1	2988.720000	3010.580000	36.726909	NaN	NaN	299941.400000	8388617
2021.12.02 00:15:00	3020.095167	16512	60	60	1	3010.120000	3029.980000	34.950344	NaN	NaN	302009.516667	8388617
2021.12.02 00:16:00	3039.292667	16512	60	60	1	3029.600000	3048.170000	29.088037	NaN	NaN	303929.266667	8388617
2021.12.02 00:17:00	3057.154407	16512	59	59	1	3048.800000	3066.220000	30.104753	NaN	NaN	305715.440678	8388609
2021.12.02 00:18:00	3075.335667	16512	60	61	1	3066.370000	3084.860000	26.529733	NaN	NaN	307533.566667	8388617
2021.12.02 00:19:00	3092.890164	128	61	61	1	3084.040000	3101.790000	27.088975	NaN	NaN	309289.016393	8388608
2021.12.02 00:20:00	3109.709833	128	60	60	1	3101.630000	3119.200000	22.872344	NaN	NaN	310970.983333	8388617
2021.12.02 00:21:00	3126.009667	128	60	60	1	3118.100000	3133.580000	19.914935	NaN	NaN	312600.966667	8388617
2021.12.02 00:22:00	3142.393667	128	60	59	1	3133.280000	3151.180000	23.359485	NaN	NaN	314239.366667	8388608
2021.12.02 00:23:00	3157.727667	128	60	60	1	3151.090000	3166.140000	22.117832	NaN	NaN	315772.766667	8388608
2021.12.02 00:24:00	3173.530667	128	60	60	1	3165.780000	3180.590000	18.557420	NaN	NaN	317353.066667	8388608
2021.12.02 00:25:00	3187.910667	128	60	60	1	3180.260000	3195.890000	20.126257	NaN	NaN	318791.066667	8388617
2021.12.02 00:26:00	3202.804167	128	60	60	1	3194.380000	3211.040000	21.423384	NaN	NaN	320280.416667	8388608
2021.12.02 00:27:00	3217.746610	128	59	59	1	3210.300000	3224.440000	15.763230	NaN	NaN	321774.661017	8388617
2021.12.02 00:28:00	3230.388333	128	60	60	1	3223.310000	3237.490000	15.509740	NaN	NaN	323038.833333	8388617
2021.12.02 00:29:00	3244.271167	128	60	59	1	3237.320000	3250.940000	15.193071	NaN	NaN	324427.116667	8388617
2021.12.02 00:30:00	3257.963607	128	61	60	1	3250.440000	3264.840000	16.941897	NaN	NaN	325796.360656	8388608
2021.12.02 00:31:00	3270.630339	128	59	58	1	3264.690000	3277.090000	11.828531	NaN	NaN	327063.033898	8388608
2021.12.02 00:32:00	3282.824754	128	61	61	1	3276.080000	3290.380000	14.188639	NaN	NaN	328282.475410	8388617
2021.12.02 00:33:00	3295.521500	128	60	60	1	3289.850000	3301.570000	11.514813	NaN	NaN	329552.150000	8388608
2021.12.02 00:34:00	3307.064167	128	60	60	1	3301.570000	3313.370000	10.257208	NaN	NaN	330706.416667	8388608
2021.12.02 00:35:00	3318.718833	128	60	60	1	3312.680000	3323.510000	9.050539	NaN	NaN	331871.883333	8388608
2021.12.02 00:36:00	3330.176333	128	60	60	1	3323.290000	3336.450000	10.850549	NaN	NaN	333017.633333	8388617
2021.12.02 00:37:00	3340.274576	128	59	59	1	3335.360000	3346.290000	7.723570	NaN	NaN	334027.457627	8388617
2021.12.02 00:38:00	3351.501475	128	61	61	1	3345.250000	3359.390000	11.684246	NaN	NaN	335150.147541	8388608
2021.12.02 00:39:00	3362.024833	128	60	60	1	3357.570000	3366.160000	8.179751	NaN	NaN	336202.483333	8388608
2021.12.02 00:40:00	3372.104000	128	60	59	1	3366.650000	3376.780000	9.025665	NaN	NaN	337210.400000	8388617
2021.12.02 00:41:00	3381.714667	128	60	60	1	3376.720000	3386.860000	7.455388	NaN	NaN	338171.466667	8388608
2021.12.02 00:42:00	3391.021667	128	60	60	1	3385.500000	3396.230000	7.757736	NaN	NaN	339102.166667	8388608
2021.12.02 00:43:00	3400.744000	128	60	60	1	3395.660000	3405.830000	9.774346	NaN	NaN	340074.400000	8388617
2021.12.02 00:44:00	3410.224407	128	59	60	1	3404.620000	3414.950000	7.413832	NaN	NaN	341022.440678	8388608
2021.12.02 00:45:00	3418.490656	128	61	61	1	3413.850000	3423.840000	7.511563	NaN	NaN	341849.065574	8388608
2021.12.02 00:46:00	3428.087797	128	59	59	1	3421.770000	3432.860000	8.832083	NaN	NaN	342808.779661	8388608
2021.12.02 00:47:00	3436.257377	128	61	60	1	3431.750000	3441.010000	7.833646	NaN	NaN	343625.737705	8388608
2021.12.02 00:48:00	3445.063000	128	60	59	1	3439.550000	3449.740000	7.527587	NaN	NaN	344506.300000	8388608
2021.12.02 00:49:00	3452.886833	128	60	60	1	3448.630000	3457.800000	7.691954	NaN	NaN	345288.683333	8388617
2021.12.02 00:50:00	3461.565667	128	60	60	1	3456.870000	3465.970000	6.562578	NaN	NaN	346156.566667	8388608
2021.12.02 00:51:00	3468.789667	128	60	60	1	3464.440000	3472.930000	5.640173	NaN	NaN	346878.966667	8388617
2021.12.02 00:52:00	3476.779000	128	60	60	1	3472.420000	3481.120000	3.850107	NaN	NaN	347677.900000	8388608
2021.12.02 00:53:00	3484.127500	128	60	60	1	3480.100000	3488.140000	5.351148	NaN	NaN	348412.750000	8388608
2021.12.02 00:54:00	3491.560339	128	59	60	1	3486.980000	3495.400000	4.267072	NaN	NaN	349156.033898	8388608
2021.12.02 00:55:00	3499.056393	128	61	61	1	3494.510000	3502.270000	3.490997	NaN	NaN	349905.639344	8388608
2021.12.02 00:56:00	3505.679153	128	59	59	1	3501.340000	3510.420000	5.896149	NaN	NaN	350567.915254	8388608
2021.12.02 00:57:00	3512.866885	128	61	60	1	3507.940000	3516.540000	4.567502	NaN	NaN	351286.688525	8388617
2021.12.02 00:58:00	3519.551667	128	60	59	1	3515.300000	3523.260000	4.168851	NaN	NaN	351955.166667	8388608
2021.12.02 00:59:00	3526.260167	128	60	60	1	3522.360000	3529.860000	3.990293	NaN	NaN	352626.016667	8388608
2021.12.02 01:00:00	3532.515833	128	60	60	1	3528.340000	3536.950000	5.446415	NaN	NaN	353251.583333	8388608
2021.12.02 01:01:00	3539.572667	128	60	60	1	3536.810000	3541.840000	2.463149	NaN	NaN	353957.266667	8388608
2021.12.02 01:02:00	3545.064167	128	60	60	1	3541.310000	3548.190000	2.886730	NaN	NaN	354506.416667	8388608
2021.12.02 01:03:00	3551.461017	128	59	60	1	3547.530000	3554.820000	3.646513	NaN	NaN	355146.101695	8388608
2021.12.02 01:04:00	3556.957049	128	61	61	1	3553.350000	3561.650000	4.654671	NaN	NaN	355695.704918	8388617
2021.12.02 01:05:00	3563.015085	128	59	59	1	3560.760000	3567.030000	2.844663	NaN	NaN	356301.508475	8388608
2021.12.02 01:06:00	3568.626230	128	61	60	1	3565.510000	3572.510000	4.222791	NaN	NaN	356862.622951	8388608
2021.12.02 01:07:00	3574.793667	128	60	59	1	3571.060000	3579.190000	4.160356	NaN	NaN	357479.366667	8388608
2021.12.02 01:08:00	3580.134000	128	60	59	1	3576.570000	3583.640000	3.643702	NaN	NaN	358013.400000	8388617
2021.12.02 01:09:00	3584.692833	128	60	60	1	3582.080000	3587.550000	1.840383	NaN	NaN	358469.283333	8388608
2021.12.02 01:10:00	3590.081667	128	60	60	1	3586.520000	3592.570000	1.981841	NaN	NaN	359008.166667	8388617
2021.12.02 01:11:00	3595.530169	128	59	59	1	3591.730000	3598.390000	3.356088	NaN	NaN	359553.016949	8388617
2021.12.02 01:12:00	3600.636066	128	61	61	1	3598.480000	3604.550000	2.239224	NaN	NaN	360063.606557	8388617
2021.12.02 01:13:00	3604.959667	128	60	61	1	3602.400000	3608.340000	1.932854	NaN	NaN	360495.966667	8388608
2021.12.02 01:14:00	3610.692333	128	60	59	1	3607.300000	3613.730000	2.942462	NaN	NaN	361069.233333	8388608
2021.12.02 01:15:00	3614.749167	128	60	60	1	3612.390000	3616.970000	0.975174	NaN	NaN	361474.916667	8388617
2021.12.02 01:16:00	3619.291000	128	60	60	1	3616.060000	3621.550000	1.634009	NaN	NaN	361929.100000	8388608
2021.12.02 01:17:00	3623.870333	128	60	60	1	3620.520000	3627.380000	2.916695	NaN	NaN	362387.033333	8388617
2021.12.02 01:18:00	3627.995833	128	60	60	1	3625.800000	3630.370000	1.698062	NaN	NaN	362799.583333	8388617
2021.12.02 01:19:00	3632.399667	128	60	60	1	3629.390000	3635.380000	2.452430	NaN	NaN	363239.966667	8388608
2021.12.02 01:20:00	3637.726167	128	60	60	1	3633.460000	3639.850000	2.196071	NaN	NaN	363772.616667	8388608
2021.12.02 01:21:00	3641.811333	128	60	60	1	3638.920000	3644.950000	2.530971	NaN	NaN	364181.133333	8388617
2021.12.02 01:22:00	3645.001500	128	60	60	1	3642.440000	3647.790000	1.583352	NaN	NaN	364500.150000	8388608
2021.12.02 01:23:00	3649.711500	128	60	60	1	3646.700000	3652.440000	1.499440	NaN	NaN	364971.150000	8388608
2021.12.02 01:24:00	3653.751667	128	60	60	1	3650.270000	3655.370000	0.915129	NaN	NaN	365375.166667	8388617
2021.12.02 01:25:00	3657.427333	128	60	60	1	3654.740000	3659.460000	1.899247	NaN	NaN	365742.733333	8388608
2021.12.02 01:26:00	3661.352203	128	59	59	1	3659.040000	3663.740000	1.379776	NaN	NaN	366135.220339	8388608
2021.12.02 01:27:00	3665.241475	128	61	62	1	3661.250000	3668.640000	4.216729	NaN	NaN	366524.147541	8388608
2021.12.02 01:28:00	3669.045167	128	60	59	1	3667.000000	3671.120000	1.051737	NaN	NaN	366904.516667	8388608
2021.12.02 01:29:00	3672.699333	128	60	59	1	3670.160000	3676.040000	2.377311	NaN	NaN	367269.933333	8388617
2021.12.02 01:30:00	3676.305833	128	60	60	1	3674.480000	3679.270000	1.320194	NaN	NaN	367630.583333	8388617
2021.12.02 01:31:00	3679.163500	128	60	60	1	3677.210000	3682.320000	1.336142	NaN	NaN	367916.350000	8388608
2021.12.02 01:32:00	3683.355167	128	60	60	1	3681.710000	3685.200000	0.782639	NaN	NaN	368335.516667	8388608
2021.12.02 01:33:00	3686.767458	128	59	60	1	3683.840000	3689.330000	2.003643	NaN	NaN	368676.745763	8388608
2021.12.02 01:34:00	3689.292131	128	61	61	1	3686.880000	3692.400000	1.454920	NaN	NaN	368929.213115	8388617
2021.12.02 01:35:00	3692.619333	128	60	60	1	3690.670000	3694.830000	0.996294	NaN	NaN	369261.933333	8388608
2021.12.02 01:36:00	3696.913051	128	59	59	1	3694.340000	3699.790000	1.904911	NaN	NaN	369691.305085	8388608
2021.12.02 01:37:00	3699.265410	128	61	60	1	3697.640000	3701.460000	0.791882	NaN	NaN	369926.540984	8388617
2021.12.02 01:38:00	3702.134833	128	60	59	1	3700.130000	3703.940000	0.894181	NaN	NaN	370213.483333	8388617
2021.12.02 01:39:00	3705.528333	128	60	59	1	3702.690000	3708.050000	1.604855	NaN	NaN	370552.833333	8388608
2021.12.02 01:40:00	3707.919000	128	60	60	1	3706.350000	3709.480000	0.492616	NaN	NaN	370791.900000	8388617
2021.12.02 01:41:00	3710.947333	128	60	60	1	3707.950000	3713.390000	1.927186	NaN	NaN	371094.733333	8388608
2021.12.02 01:42:00	3714.182667	128	60	60	1	3711.790000	3716.630000	1.105118	NaN	NaN	371418.266667	8388617
2021.12.02 01:43:00	3716.517000	128	60	60	1	3714.980000	3718.110000	0.553791	NaN	NaN	371651.700000	8388617
2021.12.02 01:44:00	3719.680500	128	60	60	1	3717.100000	3722.150000	1.397066	NaN	NaN	371968.050000	8388617
2021.12.02 01:45:00	3722.065333	128	60	60	1	3719.670000	3724.790000	1.459293	NaN	NaN	372206.533333	8388608
2021.12.02 01:46:00	3724.869000	128	60	61	1	3721.370000	3728.360000	3.696131	NaN	NaN	372486.900000	8388617
2021.12.02 01:47:00	3727.965833	128	60	60	1	3726.280000	3730.640000	0.828530	NaN	NaN	372796.583333	8388608
2021.12.02 01:48:00	3729.941017	128	59	58	1	3727.450000	3732.760000	1.333633	NaN	NaN	372994.101695	8388608
2021.12.02 01:49:00	3732.674754	128	61	61	1	3730.410000	3735.590000	1.788675	NaN	NaN	373267.475410	8388608
2021.12.02 01:50:00	3735.501500	128	60	60	1	3733.380000	3736.980000	0.755969	NaN	NaN	373550.150000	8388608
2021.12.02 01:51:00	3737.925167	128	60	60	1	3735.590000	3740.070000	1.430656	NaN	NaN	373792.516667	8388617
2021.12.02 01:52:00	3740.018500	128	60	60	1	3737.530000	3742.270000	0.908535	NaN	NaN	374001.850000	8388608
2021.12.02 01:53:00	3742.753667	128	60	60	1	3740.360000	3744.720000	1.272210	NaN	NaN	374275.366667	8388608
2021.12.02 01:54:00	3744.525333	128	60	60	1	3742.550000	3746.670000	0.853978	NaN	NaN	374452.533333	8388608
2021.12.02 01:55:00	3747.540169	128	59	60	1	3744.560000	3749.570000	1.277312	NaN	NaN	374754.016949	8388617
2021.12.02 01:56:00	3749.167333	128	60	59	1	3747.280000	3751.150000	0.728966	NaN	NaN	374916.733333	8388608
2021.12.02 01:57:00	3751.528033	128	61	60	1	3749.550000	3753.300000	0.796339	NaN	NaN	375152.803279	8388608
2021.12.02 01:58:00	3753.456667	128	60	59	1	3750.680000	3756.360000	1.500687	NaN	NaN	375345.666667	8388617
2021.12.02 01:59:00	3755.801167	128	60	60	1	3754.030000	3757.640000	0.708529	NaN	NaN	375580.116667	8388608
2021.12.02 02:00:00	3758.326333	128	60	60	1	3755.920000	3760.180000	1.177990	NaN	NaN	375832.633333	8388608
2021.12.02 02:01:00	3760.052000	128	60	60	1	3757.880000	3761.870000	1.064359	NaN	NaN	376005.200000	8388608
2021.12.02 02:02:00	3761.643667	128	60	59	1	3759.760000	3762.990000	0.568071	NaN	NaN	376164.366667	8388608
2021.12.02 02:03:00	3760.285333	128	60	60	1	3758.860000	3761.540000	0.557381	NaN	NaN	376028.533333	8388617
2021.12.02 02:04:00	3760.918000	128	60	60	1	3759.380000	3762.160000	0.481809	NaN	NaN	376091.800000	8388608
2021.12.02 02:05:00	3760.759167	128	60	60	1	3758.680000	3762.420000	0.867357	NaN	NaN	376075.916667	8388617
2021.12.02 02:06:00	3761.594833	128	60	59	1	3759.810000	3763.640000	0.597595	NaN	NaN	376159.483333	8388608
2021.12.02 02:07:00	3762.854576	128	59	58	1	3759.750000	3764.640000	0.860625	NaN	NaN	376285.457627	8388617
2021.12.02 02:08:00	3763.433279	128	61	61	1	3761.650000	3764.880000	0.493296	NaN	NaN	376343.327869	8388608
2021.12.02 02:09:00	3765.121000	128	60	60	1	3762.540000	3767.230000	1.032606	NaN	NaN	376512.100000	8388608
2021.12.02 02:10:00	3766.226167	128	60	60	1	3764.230000	3768.190000	0.833594	NaN	NaN	376622.616667	8388608
2021.12.02 02:11:00	3767.325833	128	60	60	1	3765.380000	3769.120000	0.889669	NaN	NaN	376732.583333	8388608
2021.12.02 02:12:00	3768.745333	128	60	60	1	3767.080000	3770.570000	0.738293	NaN	NaN	376874.533333	8388608
2021.12.02 02:13:00	3770.397500	128	60	60	1	3768.920000	3772.940000	0.932867	NaN	NaN	377039.750000	8388608
2021.12.02 02:14:00	3772.097797	128	59	59	1	3769.990000	3774.240000	1.295945	NaN	NaN	377209.779661	8388608
2021.12.02 02:15:00	3773.670164	128	61	60	1	3771.510000	3776.210000	1.604335	NaN	NaN	377367.016393	8388608
2021.12.02 02:16:00	3775.107500	128	60	60	1	3773.670000	3777.240000	0.706683	NaN	NaN	377510.750000	8388608
2021.12.02 02:17:00	3776.268167	128	60	60	1	3774.360000	3777.990000	0.602008	NaN	NaN	377626.816667	8388617
2021.12.02 02:18:00	3776.899333	128	60	60	1	3775.210000	3779.050000	0.813976	NaN	NaN	377689.933333	8388608
2021.12.02 02:19:00	3778.327667	128	60	60	1	3776.250000	3781.160000	0.766588	NaN	NaN	377832.766667	8388608
2021.12.02 02:20:00	3780.595500	128	60	60	1	3778.980000	3782.930000	0.955795	NaN	NaN	378059.550000	8388608
2021.12.02 02:21:00	3781.513667	128	60	60	1	3780.050000	3782.670000	0.381454	NaN	NaN	378151.366667	8388608
2021.12.02 02:22:00	3782.824000	128	60	60	1	3781.070000	3784.630000	0.651085	NaN	NaN	378282.400000	8388608
2021.12.02 02:23:00	3783.451500	128	60	60	1	3781.520000	3785.080000	0.745901	NaN	NaN	378345.150000	8388608
2021.12.02 02:24:00	3784.637833	128	60	60	1	3782.530000	3786.790000	0.977753	NaN	NaN	378463.783333	8388617
2021.12.02 02:25:00	3785.909833	128	60	60	1	3784.240000	3787.680000	0.889314	NaN	NaN	378590.983333	8388617
2021.12.02 02:26:00	3787.054833	128	60	59	1	3785.200000	3788.830000	0.742103	NaN	NaN	378705.483333	8388608
2021.12.02 02:27:00	3788.295000	128	60	60	1	3785.580000	3790.480000	1.123890	NaN	NaN	378829.500000	8388608
2021.12.02 02:28:00	3789.640667	128	60	60	1	3788.120000	3792.790000	0.859179	NaN	NaN	378964.066667	8388608
2021.12.02 02:29:00	3790.493000	128	60	60	1	3787.850000	3792.890000	1.544272	NaN	NaN	379049.300000	8388617
2021.12.02 02:30:00	3792.053167	128	60	60	1	3790.970000	3794.360000	0.564246	NaN	NaN	379205.316667	8388608
2021.12.02 02:31:00	3792.945167	128	60	60	1	3790.970000	3794.950000	0.852378	NaN	NaN	379294.516667	8388617
2021.12.02 02:32:00	3793.810833	128	60	60	1	3792.180000	3794.980000	0.517055	NaN	NaN	379381.083333	8388617
2021.12.02 02:33:00	3795.688500	128	60	60	1	3793.780000	3797.530000	0.650823	NaN	NaN	379568.850000	8388608
2021.12.02 02:34:00	3796.511167	128	60	59	1	3795.280000	3798.250000	0.555878	NaN	NaN	379651.116667	8388608
2021.12.02 02:35:00	3797.520833	128	60	59	1	3795.670000	3799.370000	0.914520	NaN	NaN	379752.083333	8388608
2021.12.02 02:36:00	3798.771500	128	60	60	1	3796.070000	3800.980000	1.769067	NaN	NaN	379877.150000	8388608
2021.12.02 02:37:00	3799.433667	128	60	60	1	3796.580000	3801.340000	1.254169	NaN	NaN	379943.366667	8388617
2021.12.02 02:38:00	3800.520667	128	60	60	1	3799.040000	3802.740000	0.770820	NaN	NaN	380052.066667	8388608
2021.12.02 02:39:00	3801.326167	128	60	60	1	3799.690000	3803.380000	0.637082	NaN	NaN	380132.616667	8388617
2021.12.02 02:40:00	3802.802203	128	59	59	1	3801.080000	3804.390000	0.736138	NaN	NaN	380280.220339	8388617
2021.12.02 02:41:00	3803.652500	128	60	59	1	3801.900000	3805.240000	0.508351	NaN	NaN	380365.250000	8388608
2021.12.02 02:42:00	3804.528689	128	61	60	1	3802.910000	3806.180000	0.675248	NaN	NaN	380452.868852	8388608
2021.12.02 02:43:00	3804.977667	128	60	59	1	3802.670000	3807.080000	1.109771	NaN	NaN	380497.766667	8388608
2021.12.02 02:44:00	3806.703167	128	60	59	1	3805.460000	3808.410000	0.311280	NaN	NaN	380670.316667	8388608
2021.12.02 02:45:00	3807.087667	128	60	60	1	3805.330000	3808.990000	0.926761	NaN	NaN	380708.766667	8388608
2021.12.02 02:46:00	3807.508833	128	60	60	1	3805.780000	3809.830000	1.111865	NaN	NaN	380750.883333	8388608
2021.12.02 02:47:00	3809.185500	128	60	60	1	3807.630000	3810.520000	0.432937	NaN	NaN	380918.550000	8388608
2021.12.02 02:48:00	3809.925333	128	60	60	1	3807.680000	3812.110000	0.693419	NaN	NaN	380992.533333	8388617
2021.12.02 02:49:00	3810.896333	128	60	60	1	3808.850000	3813.080000	1.005135	NaN	NaN	381089.633333	8388608
2021.12.02 02:50:00	3810.831500	128	60	60	1	3809.030000	3813.270000	0.941599	NaN	NaN	381083.150000	8388608
2021.12.02 02:51:00	3812.161333	128	60	60	1	3809.990000	3814.200000	0.993432	NaN	NaN	381216.133333	8388608
2021.12.02 02:52:00	3812.935167	128	60	59	1	3811.520000	3814.920000	0.548754	NaN	NaN	381293.516667	8388617
2021.12.02 02:53:00	3813.224000	128	60	60	1	3811.460000	3814.540000	0.544180	NaN	NaN	381322.400000	8388608
2021.12.02 02:54:00	3814.028667	128	60	60	1	3812.220000	3816.070000	0.938493	NaN	NaN	381402.866667	8388617
2021.12.02 02:55:00	3815.194746	128	59	59	1	3813.170000	3817.160000	1.023439	NaN	NaN	381519.474576	8388608
2021.12.02 02:56:00	3815.126885	128	61	60	1	3813.550000	3817.070000	0.714515	NaN	NaN	381512.688525	8388617
2021.12.02 02:57:00	3816.357667	128	60	59	1	3814.580000	3818.870000	1.042900	NaN	NaN	381635.766667	8388608
2021.12.02 02:58:00	3817.057333	128	60	60	1	3814.510000	3819.000000	0.746515	NaN	NaN	381705.733333	8388617
2021.12.02 02:59:00	3818.440339	128	59	59	1	3816.250000	3820.790000	1.047114	NaN	NaN	381844.033898	8388617
2021.12.02 03:00:00	3818.405500	128	60	60	1	3815.980000	3820.270000	1.082974	NaN	NaN	381840.550000	8388608
2021.12.02 03:01:00	3819.480164	128	61	61	1	3817.000000	3821.760000	1.552012	NaN	NaN	381948.016393	8388608
2021.12.02 03:02:00	3820.733000	128	60	60	1	3819.120000	3822.660000	0.591977	NaN	NaN	382073.300000	8388617
2021.12.02 03:03:00	3820.633500	128	60	60	1	3819.000000	3822.210000	0.485508	NaN	NaN	382063.350000	8388608
2021.12.02 03:04:00	3821.258500	128	60	60	1	3819.060000	3824.320000	1.510701	NaN	NaN	382125.850000	8388608
2021.12.02 03:05:00	3821.256167	128	60	60	1	3819.460000	3823.360000	0.947861	NaN	NaN	382125.616667	8388617
2021.12.02 03:06:00	3823.075000	128	60	60	1	3821.480000	3825.190000	0.602442	NaN	NaN	382307.500000	8388608
2021.12.02 03:07:00	3822.397667	128	60	60	1	3820.700000	3824.560000	0.670330	NaN	NaN	382239.766667	8388617
2021.12.02 03:08:00	3823.413000	128	60	60	1	3821.790000	3825.340000	0.703299	NaN	NaN	382341.300000	8388608
2021.12.02 03:09:00	3824.081833	128	60	60	1	3822.180000	3826.620000	0.884168	NaN	NaN	382408.183333	8388617
2021.12.02 03:10:00	3824.730169	128	59	60	1	3822.890000	3827.120000	1.243040	NaN	NaN	382473.016949	8388617
2021.12.02 03:11:00	3825.434262	128	61	61	1	3823.600000	3826.930000	0.438608	NaN	NaN	382543.426230	8388617
2021.12.02 03:12:00	3826.031525	128	59	59	1	3824.420000	3827.570000	0.391906	NaN	NaN	382603.152542	8388608
2021.12.02 03:13:00	3825.984590	128	61	60	1	3824.120000	3828.610000	0.802302	NaN	NaN	382598.459016	8388608
2021.12.02 03:14:00	3826.703833	128	60	60	1	3824.750000	3829.310000	1.220671	NaN	NaN	382670.383333	8388608
2021.12.02 03:15:00	3827.549000	128	60	60	1	3824.740000	3828.910000	0.724643	NaN	NaN	382754.900000	8388608
2021.12.02 03:16:00	3828.041167	128	60	60	1	3826.780000	3829.950000	0.602329	NaN	NaN	382804.116667	8388617
2021.12.02 03:17:00	3828.022667	128	60	60	1	3826.780000	3830.570000	0.437772	NaN	NaN	382802.266667	8388617
2021.12.02 03:18:00	3829.270167	128	60	60	1	3827.490000	3831.160000	0.684320	NaN	NaN	382927.016667	8388617
2021.12.02 03:19:00	3829.273333	128	60	60	1	3827.360000	3832.130000	1.073385	NaN	NaN	382927.333333	8388608
2021.12.02 03:20:00	3829.918983	128	59	59	1	3828.070000	3831.420000	0.474916	NaN	NaN	382991.898305	8388617
2021.12.02 03:21:00	3830.284262	128	61	60	1	3828.080000	3832.180000	1.152725	NaN	NaN	383028.426230	8388608
2021.12.02 03:22:00	3830.443167	128	60	59	1	3828.860000	3831.880000	0.546178	NaN	NaN	383044.316667	8388608
2021.12.02 03:23:00	3830.663667	128	60	59	1	3828.860000	3833.200000	0.809434	NaN	NaN	383066.366667	8388608
2021.12.02 03:24:00	3831.155833	128	60	60	1	3829.810000	3832.750000	0.467750	NaN	NaN	383115.583333	8388608
2021.12.02 03:25:00	3831.797833	128	60	60	1	3830.340000	3833.390000	0.469960	NaN	NaN	383179.783333	8388608
2021.12.02 03:26:00	3832.045000	128	60	60	1	3829.670000	3834.180000	1.164412	NaN	NaN	383204.500000	8388608
2021.12.02 03:27:00	3832.795000	128	60	60	1	3831.530000	3834.610000	0.566059	NaN	NaN	383279.500000	8388617
2021.12.02 03:28:00	3833.101186	128	59	60	1	3831.080000	3835.340000	0.787411	NaN	NaN	383310.118644	8388608
